label,comparison,test,stat,p_value,significant,normal_diff,cohens_d,effect_size
S1 - partner_a (dynamic vs hardcoded),dynamic vs hardcoded,Wilcoxon signed-rank,0.0,0.0,True,False,11.131,large
S1 - partner_a (dynamic vs jsonata),dynamic vs jsonata,Wilcoxon signed-rank,0.0,0.0,True,False,-2.9687,large
S1 - partner_a (jsonata vs hardcoded),jsonata vs hardcoded,Wilcoxon signed-rank,0.0,0.0,True,False,5.765,large
S1 - partner_b (dynamic vs hardcoded),dynamic vs hardcoded,Wilcoxon signed-rank,0.0,0.0,True,False,12.0369,large
S1 - partner_b (dynamic vs jsonata),dynamic vs jsonata,Wilcoxon signed-rank,0.0,0.0,True,False,-5.6454,large
S1 - partner_b (jsonata vs hardcoded),jsonata vs hardcoded,Wilcoxon signed-rank,0.0,0.0,True,False,11.0105,large
S1 - partner_c (dynamic vs hardcoded),dynamic vs hardcoded,Wilcoxon signed-rank,139.0,0.0,True,False,-0.0837,trivial
S1 - partner_c (dynamic vs jsonata),dynamic vs jsonata,Wilcoxon signed-rank,136.0,0.0,True,False,-1.1431,large
S1 - partner_c (jsonata vs hardcoded),jsonata vs hardcoded,Wilcoxon signed-rank,101.0,0.0,True,False,-0.0736,trivial
S2 - partner_a (dynamic vs hardcoded),dynamic vs hardcoded,Wilcoxon signed-rank,0.0,0.0,True,False,12.1508,large
S2 - partner_a (dynamic vs jsonata),dynamic vs jsonata,Wilcoxon signed-rank,0.0,0.0,True,False,-6.4078,large
S2 - partner_a (jsonata vs hardcoded),jsonata vs hardcoded,Wilcoxon signed-rank,0.0,0.0,True,False,14.1882,large
S2 - partner_b (dynamic vs hardcoded),dynamic vs hardcoded,Wilcoxon signed-rank,0.0,0.0,True,False,14.658,large
S2 - partner_b (dynamic vs jsonata),dynamic vs jsonata,Wilcoxon signed-rank,0.0,0.0,True,False,-7.5285,large
S2 - partner_b (jsonata vs hardcoded),jsonata vs hardcoded,Wilcoxon signed-rank,0.0,0.0,True,False,16.9399,large
S2 - partner_c (dynamic vs hardcoded),dynamic vs hardcoded,Wilcoxon signed-rank,300.0,0.0,True,False,3.3527,large
